date,home_team,away_team,tournament,home_fifa_points,away_fifa_points,fifa_points_diff,home_form,away_form,h2h_home_win_rate,tournament_weight,home_avg_goal_diff,away_avg_goal_diff,label
2000-01-26,Uganda,Libya,Friendly,0.15804066543438078,0.12245841035120147,0.5125395059473401,0.5,0.5,0.5,0.0,0.5,0.5492957746478874,2
2000-01-26,Spain,Poland,Friendly,0.3479667282809612,0.272181146025878,0.536616685762361,0.5,0.5,0.5,0.0,0.5,0.5492957746478874,2
2000-01-26,Costa Rica,Trinidad And Tobago,Friendly,0.2222735674676525,0.24722735674676524,0.4762853616281708,0.5,0.0,0.5,0.0,0.5,0.5352112676056339,2
2000-01-26,China Pr,Guam,AFC Asian Cup qualification,0.19038817005545286,0.0018484288354898336,0.6041434889217298,1.0,0.0,0.5,0.5,0.618421052631579,0.23943661971830987,2
2000-01-26,Guatemala,Panama,Friendly,0.2097966728280961,0.0988909426987061,0.5576496244513447,0.0,1.0,0.5,0.0,0.4736842105263158,0.6056338028169015,1
2000-01-27,Ghana,Togo,African Cup of Nations,0.24306839186691312,0.19085027726432532,0.5225024769052798,0.5,0.25,0.5,0.75,0.5263157894736842,0.5,2
2000-01-27,South Africa,Dr Congo,African Cup of Nations,0.27587800369685767,0.0,0.6564490864509129,1.0,0.0,0.5,0.75,0.5526315789473684,0.5492957746478874,2
2000-01-28,Cameroon,Ivory Coast,African Cup of Nations,0.23151571164510165,0.24445471349353048,0.48348084065334945,0.0,0.5,0.5,0.75,0.5,0.5774647887323944,2
2000-01-28,Egypt,Senegal,African Cup of Nations,0.2578558225508318,0.20286506469500923,0.5241629720649364,0.5,0.5,0.5,0.75,0.5,0.5774647887323944,2
2000-01-28,Nigeria,Congo,African Cup of Nations,0.20517560073937152,0.18299445471349352,0.5045137793423332,1.0,0.0,0.5,0.75,0.5526315789473684,0.5211267605633804,1
2000-01-28,United States Virgin Islands,Saint Lucia,Friendly,0.0,0.0,0.4912298180650803,0.5,0.5,0.5,0.0,0.5,0.5492957746478874,0
2000-01-29,Vietnam,China Pr,AFC Asian Cup qualification,0.17282809611829944,0.19038817005545286,0.48071334872058846,1.0,1.0,0.5,0.5,0.6842105263157895,0.8122065727699531,0
2000-01-29,Zambia,Burkina Faso,African Cup of Nations,0.26386321626617376,0.20933456561922364,0.5238862228716603,0.0,0.25,0.5,0.75,0.4473684210526316,0.5422535211267606,1
2000-01-29,Tunisia,Morocco,African Cup of Nations,0.27911275415896486,0.283271719038817,0.4887390753255954,0.3333333333333333,1.0,0.5,0.75,0.5263157894736842,0.5774647887323944,1
2000-01-29,Philippines,Guam,AFC Asian Cup qualification,0.03465804066543438,0.0018484288354898336,0.5108790107876835,0.0,0.0,0.5,0.5,0.35526315789473684,0.12676056338028174,2
2000-01-29,Chile,United States,Friendly,0.2855822550831793,0.28604436229205177,0.49095306887180423,0.5,0.0,0.5,0.0,0.5,0.5492957746478874,0
2000-01-29,Algeria,Gabon,African Cup of Nations,0.19454713493530498,0.21072088724584104,0.48154359630041677,0.0,0.0,0.5,0.75,0.4868421052631579,0.5211267605633804,2
2000-01-30,United States Virgin Islands,Saint Lucia,Friendly,0.0,0.0,0.4912298180650803,0.0,1.0,0.0,0.0,0.26315789473684215,0.8028169014084507,0
2000-01-31,Cameroon,Togo,African Cup of Nations,0.23151571164510165,0.19085027726432532,0.5155837470733773,0.25,0.2,0.5,0.75,0.5197368421052632,0.4985915492957747,0
2000-01-31,Faroe Islands,Finland,Nordic Championship,0.15249537892791126,0.23475046210720887,0.44196846166193426,0.5,0.5,0.5,0.125,0.5,0.5492957746478874,0
2000-01-31,Ghana,Ivory Coast,African Cup of Nations,0.24306839186691312,0.24445471349353048,0.490399570485252,0.6666666666666666,0.3333333333333333,0.5,0.75,0.5350877192982456,0.539906103286385,0
2000-01-31,Iceland,Norway,Nordic Championship,0.24722735674676524,0.3317929759704251,0.44058471569555374,0.5,0.5,0.5,0.125,0.5,0.5492957746478874,1
2000-01-31,Kuwait,Syria,Friendly,0.1977818853974122,0.15665434380776339,0.5158604962666533,0.5,0.5,0.5,0.0,0.5,0.5492957746478874,2
2000-02-01,British Virgin Islands,Saint Lucia,Friendly,0.06515711645101664,0.0,0.5302514543170106,0.5,1.0,0.5,0.0,0.5,0.7042253521126761,0
2000-02-01,Egypt,Burkina Faso,African Cup of Nations,0.2578558225508318,0.20933456561922364,0.520288483359071,0.6,0.2,0.5,0.75,0.5052631578947369,0.543661971830986,2
2000-02-01,Zambia,Senegal,African Cup of Nations,0.26386321626617376,0.20286506469500923,0.5277607115775257,0.0,0.3333333333333333,0.5,0.75,0.4736842105263158,0.5586854460093897,1
2000-02-02,Saint Kitts And Nevis,Saint Lucia,Friendly,0.0,0.0,0.4912298180650803,0.5,1.0,0.5,0.0,0.5,0.6619718309859155,0
2000-02-02,South Africa,Algeria,African Cup of Nations,0.27587800369685767,0.19454713493530498,0.5399376760816742,1.0,0.3333333333333333,0.5,0.75,0.5394736842105263,0.5586854460093897,1
2000-02-02,Romania,Latvia,Cyprus International Tournament,0.3304066543438078,0.2255083179297597,0.5540518849387553,0.5,0.5,0.5,0.25,0.5,0.5492957746478874,2
2000-02-02,Finland,Iceland,Nordic Championship,0.23475046210720887,0.24722735674676524,0.4837575898466256,1.0,0.0,0.5,0.125,0.5263157894736842,0.5492957746478874,0
2000-02-02,Armenia,Moldova,Cyprus International Tournament,0.1963955637707948,0.18391866913123844,0.49870204628353504,0.0,0.5,0.5,0.25,0.5,0.5492957746478874,2
2000-02-02,Costa Rica,Chile,Friendly,0.2222735674676525,0.2855822550831793,0.4533151785862544,1.0,0.0,0.5,0.0,0.5263157894736842,0.5211267605633804,2
2000-02-02,Dr Congo,Gabon,African Cup of Nations,0.0,0.21072088724584104,0.36503218593117803,0.0,0.0,0.5,0.75,0.4868421052631579,0.511737089201878,1
